Category,Expenses,Date
Laundry Half,295.00,03/01/2026
Last RTO Tarro,390.00,13/01/2026
Deodorant,284.00,14/01/2026
New Year Games Contribution,400.00,01/01/2026
Socks,594.00,01/01/2026
Monthsary Bok Chicken,339.00,02/01/2026
Pizza,124.00,03/01/2026
Foot Spray,99.00,04/01/2026
Vape,820.00,06/01/2026
Tiktok orders,1207.00,08/01/2026
Chapter 1 Cafe,390.00,09/01/2026
Pizza Movie Night,143.00,11/01/2026
Cafe,150.00,14/01/2026
Pod,450.00,14/01/2026
Motor Ticket,30.00,15/01/2026
Face Towel Budol,100.00,17/01/2026
Batangas Trip,3035.38,17/01/2026
